ukprn,name,application_type,start_date,status,rating,inspection_date,company_number,address,turnover,net_profit,operating_profit,financial_year,company_status,incorporation_date,latest_accounts,persons_with_significant_control
10095082,BRITISH CAR AUCTIONS LIMITED,Employer provider,27/02/2025,,,,00438886,,,,,,active,1947-07-14,,"[{'name': 'Bca Trading Limited', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'Form 2, 18, Bartley Wood Business Park, Hook, RG27 9XA, United Kingdom'}]"
10028056,PARTNERS 4 TRAINING LTD.,Main provider,21/02/2025,,,,04681316,,,,,,active,2003-02-27,,"[{'name': 'Ashley Faires', 'date_of_birth': '10/1967', 'country_of_residence': 'England', 'nationality': 'British', 'address': '30-34, North Street, Hailsham, BN27 1DW, England'}, {'name': 'Allison Jane Faires', 'date_of_birth': '5/1969', 'country_of_residence': 'England', 'nationality': 'British', 'address': '30-34, North Street, Hailsham, BN27 1DW, England'}]"
10054735,SPRINGFIELD TRAINING LIMITED,Main provider,30/01/2018,Not Currently Starting New Apprentices,Good,9 August 2022,09644119,"Suite 1-12, Business Hub, Howley Park Road, Leeds, West Yorkshire, LS27 0GR",,,,,active,2015-06-17,,"[{'name': 'Noel Christian Johnson', 'date_of_birth': '12/1967', 'country_of_residence': 'United Kingdom', 'nationality': 'British', 'address': '19 Albion Street, Hull, HU1 3TG, England'}]"
10065693,DR ELAINE ANNE MUSTOE T/A Dental Nurse Academy,Main provider,05/02/2025,,,,,,,,,,,,,[]
10046315,NATIONWIDE ENERGY TRAINING SERVICES LTD,Main provider,13/03/2017,,Good,29 November 2022,08112657,"Europa House, 310 Europa Boulevard, Warrington, Cheshire, WA5 7XR",,,,,active,2012-06-20,,"[{'name': 'Paul Lee Conroy', 'date_of_birth': '4/1974', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'Office 407 The Base, Dallam Lane, Warrington, WA2 7NG, England'}]"
10059665,INSPIRING FUTURES PARTNERSHIP TRUST T/A INSPIRING FUTURES PARTNERSHIP TRUST (Academy Trust),Main provider,05/02/2025,,,,,,,,,,,,,[]
10057175,ELEVATED KNOWLEDGE LTD,Main provider,17/05/2017,Not Currently Starting New Apprentices,Requires Improvement,24 October 2023,09859164,"18 Hammond Avenue, Whitehill Industrial Estate, South Reddish, Stockport, SK4 1PQ",,,,,active,2015-11-05,,"[{'name': 'Kieron James Mccormick', 'date_of_birth': '10/1981', 'country_of_residence': 'England', 'nationality': 'British', 'address': '18, Hammond Avenue, Stockport, SK4 1PQ, England'}]"
10006841,UNIVERSITY OF GREATER MANCHESTER,Main provider,17/05/2017,,,,,,,,,,,,,[]
10087607,GET FURTHER LTD T/A Get Further,Supporting provider,03/02/2025,,,,,,,,,,,,,[]
10041462,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST T/A East of England Ambulance Service National Health Service Trust,Employer provider,17/01/2025,,,,,,,,,,,,,[]
10087117,ELEVATION ACADEMY LIMITED T/A Elevation Academy a part of SPL2014 Limited,Main provider,21/04/2023,Not Currently Starting New Apprentices,,,,,,,,,,,,[]
10096236,ENIGMA INDUSTRIAL SERVICES LTD,Employer provider,24/01/2025,,,,00444313,,,,,,active,1947-10-27,,"[{'name': 'Enigma Industrial Services Holdings Ltd', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'Hawthorn House, 2nd Floor, Newton-Le-Willows, WA12 0HF, United Kingdom'}]"
10026672,SOLUTIONS 4 POLYMERS LIMITED,Main provider,24/01/2025,,,,06906657,,,,,,active,2009-05-15,,"[{'name': 'Amanda Jayne Gail Barnard', 'date_of_birth': '5/1969', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'Mablen House, 43 New Road, Burntwood, WS7 0BU'}, {'name': 'Andrew Clifford Barnard', 'date_of_birth': '1/1966', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'Mablen House, 43 New Road, Burntwood, WS7 0BU'}]"
10000417,ASPECT TRAINING LIMITED,Main provider,17/01/2025,,,,04009369,,,,,,active,2000-06-07,,"[{'name': 'Des Training And Consultancy Ltd', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': '16, Manor House, Wakefield, WF4 4AN, England'}]"
10030573,CK ASSESSMENT & TRAINING LIMITED,Main provider,17/01/2025,,,,04237436,,,,,,active,2001-06-19,,"[{'name': 'Hertford Regional College', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'Ware Campus, London Road, Ware, SG12 9GF, United Kingdom'}]"
10004370,YOUNGSAVE COMPANY LIMITED T/A Milltech,Main provider,17/05/2017,Not Currently Starting New Apprentices,,,,,,,,,,,,[]
10048229,HIGH RIDGE TRAINING,Main provider,17/05/2017,,,,,,,,,,,,,[]
10004692,NORTH LANCS. TRAINING GROUP CIC,Main provider,13/03/2017,,,,,,,,,,,,,[]
10091272,NERAMS LTD T/A Nerams,Main provider,28/10/2022,Not Currently Starting New Apprentices,,,,,,,,,,,,[]
10002313,ESCP EUROPE-BUSINESS SCHOOL T/A ESCP - EAP European School Of Management,Main provider,15/11/2024,,,,,,,,,,,,,[]
10089288,CORNDEL EDUCATION LTD,Main provider,22/11/2024,,,,13486506,,,,,,active,2021-06-30,,"[{'name': 'Enterprise Training 3 Limited', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': '17, Grosvenor Street, London, W1K 4QG, United Kingdom'}]"
10005550,ROYAL BOROUGH OF WINDSOR AND MAIDENHEAD,Main provider,08/11/2024,,,,,,,,,,,,,[]
10095116,NEW START,Main provider,22/11/2024,,,,03452521,"179 Townsend Lane, Clubmoor, Liverpool, L13 9DY",,,,,active,1997-10-20,,"[{'name': 'Allen Baynes', 'date_of_birth': '7/1951', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'Head Office, 179 Townsend Lane, Liverpool, L13 9DY, England'}, {'name': 'Robin Baynes', 'date_of_birth': '9/1945', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'Head Office, 179 Townsend Lane, Liverpool, L13 9DY, England'}, {'name': 'Christopher Brannan', 'date_of_birth': '5/1952', 'country_of_residence': 'United Kingdom', 'nationality': 'British', 'address': 'Head Office, 179 Townsend Lane, Liverpool, L13 9DY, England'}]"
10005642,KLEEK APPRENTICESHIPS LIMITED T/A Kleek Apprenticeships Limited,Main provider,13/03/2017,,,,,,,,,,,,,[]
10006299,UNIVERSITY OF STAFFORDSHIRE,Main provider,13/03/2017,,,,,"L401 Flaxman Building, College Road, Stoke on Trent, Staffordshire, ST4 2DE",,,,,,,,[]
10063214,DISCOVERY RECRUITMENT LIMITED T/A Discovery,Main provider,30/01/2018,Not Currently Starting New Apprentices,,,,,,,,,,,,[]
10004720,LEARNMORE SKILLS LTD,Main provider,13/03/2017,,Requires Improvement,6 December 2022,02011397,"Maggie O'Neill Community Centre, 433 Liverpool Road, Huyton, Liverpool, L36 8HT",,,,,active,1986-04-17,,"[{'name': 'Learnmore Network Limited', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': '238, Station Road, Addlestone, KT15 2PS, England'}]"
10059069,IMPACT MULTI ACADEMY TRUST T/A LANGLEY PARK LEARNING TRUST (Academy Trust),Main provider,27/09/2024,,,,,,,,,,,,,[]
10096016,PUREPAY RETAIL LIMITED T/A Bon Marche Edinburgh Woollen Mill,Main provider,27/09/2024,,,,,,,,,,,,,[]
10067871,GOODWIN ENGINEERING TRAINING COMPANY LIMITED,Employer provider,09/10/2019,Not Currently Starting New Apprentices,Good,19 September 2023,11385436,"Goodwin House, Leek Road, Stoke-On-Trent, ST1 3NR",,,,,active,2018-05-26,,"[{'name': 'Goodwin Plc', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'Ivy House Founry, Hanley, Stoke-On-Trent, ST1 3NR, England'}]"
10064228,LEARNING ACADEMIES TRUST T/A Learning Academies Trust (Academy Trust),Employer provider,27/09/2024,,,,,,,,,,,,,[]
10056801,METRO BANK PLC T/A Metro Bank,Employer provider,26/06/2020,Not Currently Starting New Apprentices,,,,,,,,,,,,[]
10096106,CAMBRIDGESHIRE & PETERBOROUGH FIRE AUTHORITY T/A Cambridgeshire Fire & Rescue Service,Supporting provider,24/09/2024,,,,,,,,,,,,,[]
10058030,THE CODERS GUILD LTD T/A The Coders Guild,Main provider,20/01/2020,,,,,,,,,,,,,[]
10083267,COMPASS SKILLS TRAINING LIMITED T/A Compass,Main provider,03/09/2020,Not Currently Starting New Apprentices,,,,,,,,,,,,[]
10055739,DELTA ACADEMIES TRUST T/A Delta Academies Trust (Academy Trust),Main provider,20/09/2024,,,,,,,,,,,,,[]
10001478,"CITY ST GEORGE'S, UNIVERSITY OF LONDON",Main provider,13/03/2017,,,,,,,,,,,,,[]
10007193,"HRUC (HARROW, RICHMOND AND UXBRIDGE COLLEGES) T/A HRUC (Harrow, Richmond & Uxbridge College)",Main provider,13/03/2017,,,,,,,,,,,,,[]
10053216,MATRIX ACADEMY TRUST T/A Barr Beacon School,Main provider,06/09/2024,,,,,,,,,,,,,[]
10033736,LIFT SCHOOLS,Main provider,17/05/2017,,,,06625091,,,,,,active,2008-06-19,,[]
10000238,ALLIANCE LEARNING,Main provider,13/03/2017,,Good,4 June 2024,01619564,"The Hurst Building, Horwich Business Park, Chorley New Road, BL6 5UE",,,,,active,1982-03-03,,"[{'name': 'The University Of Bolton', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'The University Of Bolton, Deane Road, Bolton, BL3 5AB, England'}]"
10065400,WOW HAIR ACADEMY LIMITED,Main provider,06/12/2019,Not Currently Starting New Apprentices,Requires Improvement,3 October 2023,10556185,"6 King Street, Wolverhampton, West Midlands, WV1 1ST",,,,,active,2017-01-10,,"[{'name': 'Kerry Louisa Jackson', 'date_of_birth': '6/1977', 'country_of_residence': 'United Kingdom', 'nationality': 'British', 'address': 'Lifford Hall, Tunnel Lane, Birmingham, B30 3JN, United Kingdom'}, {'name': 'Angela Kim Cox', 'date_of_birth': '6/1968', 'country_of_residence': 'United Kingdom', 'nationality': 'British', 'address': 'Lifford Hall, Tunnel Lane, Birmingham, B30 3JN, United Kingdom'}]"
10026420,ROAD HAULAGE ASSOCIATION LIMITED T/A RHA,Supporting provider,31/01/2020,,,,,,,,,,,,,[]
10024474,BRIDGEWAY CONSULTING LIMITED,Employer provider,30/01/2018,Not Currently Starting New Apprentices,Requires Improvement,14 June 2023,03478909,"Bridgeway House, 2 Riverside Way, Nottingham, NG2 1DP",,,,,active,1997-12-10,,"[{'name': 'Bridgeway Consulting (Holdings) Limited', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'Bridgeway House, 2 Riverside Way, Nottingham, NG2 1DP, England'}]"
10032896,KNIGHTS TRAINING ACADEMY LIMITED,Main provider,13/03/2017,Not Currently Starting New Apprentices,Good,17 August 2021,06469123,"Unit 21 Trafalgar Way, Camberley, Surrey, GU15 3BN",,,,,active,2008-01-10,,"[{'name': 'Yvonne Emma Worner', 'date_of_birth': '4/1987', 'country_of_residence': 'United Kingdom', 'nationality': 'British', 'address': 'Knoll House, Knoll Road, Camberley, GU15 3SY, United Kingdom'}]"
10019914,EDEN COLLEGE OF HUMAN RESOURCE DEVELOPMENT AND MANAGEMENT STUDIES LIMITED,Main provider,13/03/2017,Not Currently Starting New Apprentices,Requires Improvement,6 August 2024,04083974,"Eden College, 34 Mawney Road, Romford, RM7 7HR",,,,,active,2000-10-04,,"[{'name': 'Freda N/A Jacobson', 'date_of_birth': '7/1962', 'country_of_residence': 'United Kingdom', 'nationality': 'British', 'address': '29 Lansbury Avenue Chadwell Heath Romford Essex, 29, Chadwell Heath Romford Essex Rm66sd, RM6 6SD, United Kingdom'}]"
10030305,SCHOOL OF COMMUNICATION ARTS 2.0 LIMITED,Supporting provider,13/10/2023,,,,06647783,,,,,,active,2008-07-16,,"[{'name': 'Marc Samuel Lewis', 'date_of_birth': '7/1973', 'country_of_residence': 'United Kingdom', 'nationality': 'British', 'address': '218, Denmark Hill, London, SE5 8DX, England'}]"
10002634,GAS LOGIC LIMITED T/A Logic4training,Main provider,30/08/2024,,,,,,,,,,,,,[]
10091537,PROFESSIONAL SKILLS ACADEMY T/A Professional Skills Academy,Main provider,23/08/2024,,,,,,,,,,,,,[]
10003196,HUGHES DRIVER TRAINING LIMITED,Supporting provider,21/01/2022,,,,04948484,"1 Mountsorrel Lane, Rothley, Leicester, LE7 7PS",,,,,active,2003-10-30,,"[{'name': 'C R Hughes Holdings Ltd', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': '284 Gipsy Lane, Leicester, LE4 9BX, England'}]"
10095596,CENTRE FOR REPRODUCTIVE MEDICINE LIMITED T/A Care Fertility Group Limited,Supporting provider,27/08/2024,,,,,,,,,,,,,[]
10067657,EDEN LEARNING TRUST T/A EDEN LEARNING TRUST (Academy Trust),Main provider,23/08/2024,,,,,,,,,,,,,[]
10062567,CPL TALENT SOLUTIONS LIMITED T/A Clinical Professionals Academies,Supporting provider,05/10/2020,,,,,,,,,,,,,[]
10000163,HEALTH SCIENCES UNIVERSITY T/A AECC University College,Main provider,21/04/2023,,,,,,,,,,,,,[]
10004175,MANCHESTER CITY COUNCIL,Main provider,02/08/2024,,,,,,,,,,,,,[]
10028094,SKILLS NORTH EAST LIMITED T/A Skills North East,Main provider,19/07/2024,,,,,,,,,,,,,[]
10001967,DIDAC LIMITED,Main provider,16/08/2024,,Good,22 August 2023,03303042,"Woodwise Academy, Riverside, Crews Hole Rd, Bristol, BS5 8BB",,,,,active,1997-01-16,,"[{'name': 'Martin Philip James', 'date_of_birth': '3/1959', 'country_of_residence': 'United Kingdom', 'nationality': 'British', 'address': 'Woodwise Training Academy, Riverside, Bristol, BS5 8BB, England'}]"
10092175,AM 2 PM GROUP HOLDINGS LIMITED,Main provider,02/08/2024,,,,09984887,"Units 1 & 2 Three Spires House, Station Road, Lichfield, WS13 6HX",,,,,active,2016-02-03,,"[{'name': 'Mcsheffrey Holdings Limited', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'Azzurri House, Walsall Road, Walsall, WS9 0RB, England'}, {'name': 'Peter Mcsheffrey', 'date_of_birth': '3/1974', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'Units 1 & 2 Three Spires House, Station Road, Lichfield, WS13 6HX, United Kingdom'}]"
10035498,COLCHESTER COUNTY HIGH SCHOOL FOR GIRLS,Main provider,19/07/2024,,Outstanding,28 November 2023,,"Norman Way, Colchester, Essex, CO3 3US",,,,,,,,[]
10085721,YORKSHIRE WORK BASED TRAINING LTD,Main provider,19/07/2024,,,,12500594,,,,,,active,2020-03-05,,"[{'name': 'Callum Stuart Young', 'date_of_birth': '12/1986', 'country_of_residence': 'England', 'nationality': 'British', 'address': 'Suite 1 Facilities House, 20 Main Street, Hull, HU2 0LF, United Kingdom'}, {'name': 'David Stuart Young', 'date_of_birth': '9/1961', 'country_of_residence': 'United Kingdom', 'nationality': 'British', 'address': 'Suite 1, Facilities House, Hull, HU2 0LF, England'}]"
10094698,MIGHTY OAK TRAINING LTD,Main provider,19/07/2024,,Good,5 July 2022,13587619,"4 Parkside, North Leigh, WITNEY, Oxfordshire, OX29 6SG",,,,,active,2021-08-26,,"[{'name': 'Julie Ann Maycock', 'date_of_birth': '10/1964', 'country_of_residence': 'England', 'nationality': 'British', 'address': '37, Market Square, Witney, OX28 6RE, England'}]"
10060817,THE SHAW EDUCATION TRUST T/A THE SHAW EDUCATION TRUST (Academy Trust),Employer provider,05/07/2024,,,,,,,,,,,,,[]
10009213,EDUCATION FOR INDUSTRY GROUP,Main provider,13/03/2017,,Good,24 March 2025,05507547,"Electra House, 84 Moorgate, London, EC2M 6SE",,,,,active,2005-07-13,,[]
10058582,WEYDON MULTI ACADEMY TRUST T/A Weydon Multi Academy Trust (Academy Trust),Main provider,05/07/2024,,,,,,,,,,,,,[]
10045987,HOLY FAMILY CATHOLIC PRIMARY SCHOOL - PART OF THE LEARNING FEDERATION PARTNERSHIP OF SCHOOLS T/A Primary Catholic Partnership SCITT,Main provider,16/04/2018,,,,,,,,,,,,,[]
10094822,L3HARRIS COMMERCIAL TRAINING SOLUTIONS LIMITED,Main provider,14/06/2024,,,,,,,,,,,,,[]
10058343,THE KEMNAL ACADEMIES TRUST1,Main provider,10/05/2024,,,,,,,,,,,,,[]
10082280,THE TAILORING ACADEMY LTD,Supporting provider,26/06/2024,,,,11247446,,,,,,active,2018-03-10,,"[{'name': 'Brita Hirsch', 'date_of_birth': '5/1967', 'country_of_residence': 'England', 'nationality': 'German', 'address': '44, Ryles Park Road, Macclesfield, SK11 8AH, United Kingdom'}]"
10042644,AJ'S TRAINING LTD T/A AJ's Training,Main provider,17/11/2022,,,,,,,,,,,,,[]
10040400,DENTAL TRAINING LIMITED,Main provider,14/06/2024,,,,08136431,,,,,,active,2012-07-10,,"[{'name': 'Tracy Anne Hewitt', 'date_of_birth': '5/1964', 'country_of_residence': 'England', 'nationality': 'British', 'address': '14, Oakfield Road, Tadley, RG26 3DN, England'}]"
10058640,HISP MULTI ACADEMY TRUST LTD T/A HISP MULTI ACADEMY TRUST LTD (Academy Trust),Main provider,07/06/2024,,,,,,,,,,,,,[]
10091766,ESTU GLOBAL LTD,Main provider,14/06/2024,,,,12879788,"WeWork Moor Place, 1 Fore Street, London, EC2Y 9DT",,,,,active,2020-09-15,,"[{'name': 'Simon Littlewood', 'date_of_birth': '11/1975', 'country_of_residence': 'England', 'nationality': 'British', 'address': '85 Great Portland Street, First Floor, London, W1W 7LT, England'}]"
10091242,RASE VY LTD T/A Rase Veterinary Nursing College,Main provider,31/05/2024,,,,,,,,,,,,,[]
10055370,CHILTERN LEARNING TRUST T/A Chiltern Learning Trust (Academy Trust),Main provider,31/05/2024,,,,,,,,,,,,,[]
10093689,IBIS CONSULTANCY LIMITED,Main provider,31/05/2024,,,,10367575,,,,,,active,2016-09-09,,[]
10008434,PREMIER BOOKS LTD T/A Premier Training,Main provider,13/03/2025,,,,,,,,,,,,,[]
10092884,SPECTRUM TRAINING SERVICES LTD,Main provider,31/05/2024,,,,13664215,"80 Grange Road, Small Heath, Birmingham, B10 9QR",,,,,active,2021-10-06,,"[{'name': 'Samear Johangeer Ali', 'date_of_birth': '2/1990', 'country_of_residence': 'England', 'nationality': 'British', 'address': '80, Grange Road, Birmingham, B10 9QR, England'}]"
10044252,ASPIRE TRAINING SOLUTIONS (UK) LIMITED,Main provider,23/01/2020,,Requires Improvement,18 March 2025,08430411,"Unit 6, Holly Park Industrial Estate, Birmingham, B24 9PB",,,,,active,2013-03-05,,"[{'name': 'Aspire Active Education Group Ltd', 'date_of_birth': '/', 'country_of_residence': '', 'nationality': '', 'address': 'Unit 6, Holly Park Industrial Estate, Spitfire Road, Birmingham, B24 9PB, England'}]"
10058007,TECHNICAL PROFESSIONALS LIMITED T/A LearnTech,Main provider,13/03/2017,,,,,,,,,,,,,[]
10096395,BLUESTONES MEDICAL COMPLEX CARE LIMITED T/A Bluestones Medical Complex Care T/A The Greenhouse,Employer provider,21/02/2025,,,,,,,,,,,,,[]
